4,3.03654
5,1.47148
6,3.84785
7,9.28497
8,40.7413
9,129.361
10,305.712
11,790.058
12,2098.4
13,6877.15
5,3.58742
6,4.84074
5,1.69727
4,0.678285
5,1.23726
6,3.59554
7,9.92605
8,41.4965
9,127.816
10,286.005
11,777.699
10,289.439
11,743.967
12,2271.42
13,6470.57
3,2.8748
4,0.493977
3,0.300145
5,3.74588
6,5.45906
7,11.5512
8,40.1069
7,9.87401
6,3.20234
5,1.77305
4,0.44638
3,0.202622
2,0.158231
4,591.997
3,235.424
4,630.855
5,1343.93
6,4332.52
7,8351.54
4,645.946
5,2203.78
1,4.30042
0,0.509195
1,6.12307
2,25.6169
1,2.00933
0,0.388963
1,6.12019
2,81.5589
3,233.052
4,790.366
4,494.413
4,535.153
3,6.84607
4,504.165
5,1395.05
6,3638.65
3,6.50852
4,323.87
5,1155.48
6,2885.83
3,8.08232
4,128.78
5,1028.71
4,434.37
3,207.131
2,69.952
3,291.112
2,56.8033
3,149.627
4,441.052
3,273.784
4,730.276
3,2.6945
4,0.770087
5,1.4087
6,4.86183
5,1.19346
4,0.815698
3,0.186223
2,0.138262
1,0.074308
0,0.054591
1,0.08179
2,0.141207
3,0.212614
4,0.421841
5,2.34072
6,3.76126
7,12.6655
8,40.1686
9,127.202
10,274.471
11,760.507
3,211.932
3,207.076
4,738.712
6,6961.23
4,614.518
3,117.251
2,23.7885
1,0.639128
2,122.295
3,267.973
4,705.228
5,1659.32
6,3588.35
7,14156.6
4,665.978
4,20.097
5,1622.5
6,3198.9
5,1554.94
4,616.336
3,221.925
2,17.8535
3,149.573
4,806.347
5,1389.34
6,4002.49
4,504.749
3,92.7096
4,325.566
5,1756.04
6,4213.49
7,12554.9
4,482.469
5,1963.06
6,4714.44
4,469.165
5,1596.88
4,31.8625
3,0.413027
4,0.700472
5,3.31222
6,18.3492
7,16.3787
6,3.85611
5,2.18032
4,0.830872
3,0.366854
2,0.152872
3,0.32179
4,0.813442
5,2.02687
4,3.26479
3,0.113665
4,0.318977
3,0.142018
4,3.07068
4,4.81675
3,0.200923
2,0.107573
1,0.071267
2,0.152213
3,0.200246
4,0.498707
5,1.33825
4,4.30612
3,0.193144
2,0.097099
4,3.29204
4,3.13413
4,0.808501
4,0.602767
4,2.27857
4,2.25156
4,0.783474
4,1.43811
3,0.164093
2,0.076925
3,0.150626
4,0.383393
3,0.232678
4,0.338367
5,0.931966
4,0.331493
3,0.262856
2,0.086872
3,0.183587
4,0.384122
5,0.906747
4,0.489982
4,2.10977
5,0.999826
4,0.39933
3,0.131057
2,0.104588
1,0.05909
4,1.78209
4,2.17187
4,1.9973
4,1.76387
4,0.475457
4,2.4754
3,0.279932
2,0.101942
1,0.065642
2,0.105163
3,0.201015
4,1.05009
5,0.970459
6,3.28224
7,9.41393
4,2.49744
4,0.460421
3,0.110629
4,0.356867
4,0.753512
3,0.192779
4,0.514931
4,0.711576
4,1.63565
3,0.176076
4,0.651662
4,2.309
5,1.06539
6,3.56242
5,1.13475
4,0.379792
3,0.18925
2,0.068153
3,0.196088
4,0.385962
5,1.18845
6,3.03893
7,8.46859
8,27.725
9,81.6431
10,246.087
11,730.926
4,2.28521
4,2.11557
3,0.247985
2,0.097266
3,0.195496
4,0.418261
5,1.21133
